x,y,lw_95c,up_95c,lw_95p,up_95p
18.23243354,1.492488927,1.294512815,1.690465039,0.259070215,2.725907638
18.61576712,1.476966255,1.279123236,1.674809275,0.2435689,2.710363611
18.99910071,1.461617225,1.26381762,1.65941683,0.228226833,2.695007618
19.38243429,1.446439893,1.248604552,1.644275234,0.213043769,2.679836017
19.76576788,1.431432338,1.233492049,1.629372627,0.198019376,2.6648453
20.14910146,1.416592662,1.218487618,1.614697707,0.183153249,2.650032075
20.53243505,1.401918987,1.20359821,1.600239763,0.168444906,2.635393067
20.91576863,1.387409455,1.188830249,1.58598866,0.153893797,2.620925112
21.29910222,1.37306223,1.174189642,1.571934818,0.139499308,2.606625152
21.6824358,1.358875497,1.159681747,1.558069246,0.125260757,2.592490237
22.06576939,1.344847461,1.145311478,1.544383443,0.111177414,2.578517508
22.44910297,1.330976345,1.131083203,1.530869488,0.09724848,2.564704211
22.83243656,1.317260396,1.117000906,1.517519887,0.083473121,2.551047671
23.21577014,1.303697877,1.103068089,1.504327666,0.069850444,2.537545311
23.59910373,1.290287072,1.089287826,1.491286318,0.056379509,2.524194635
23.98243731,1.277026284,1.075662844,1.478389723,0.043059343,2.510993225
24.3657709,1.263913834,1.06219547,1.465632198,0.029888925,2.497938742
24.74910448,1.250948063,1.048887691,1.453008436,0.016867203,2.485028924
25.13243807,1.238127331,1.035741167,1.440513496,3.99E-03,2.472261577
25.51577165,1.225450016,1.022757257,1.428142774,-8.73E-03,2.459634577
25.89910524,1.212914511,1.009937041,1.415891982,-0.021316841,2.447145863
26.28243883,1.200519233,0.997281327,1.403757138,-0.033754976,2.434793442
26.66577241,1.188262611,0.984790682,1.39173454,-0.046050155,2.422575376
27.049106,1.176143095,0.972465439,1.37982075,-0.058203601,2.41048979
27.43243958,1.16415915,0.960305757,1.368012543,-0.070216555,2.398534856
27.81577317,1.152309262,0.948311544,1.35630698,-0.082090287,2.386708811
28.19910675,1.140591929,0.936482569,1.344701289,-0.093826074,2.375009933
28.58244034,1.12900567,0.92481843,1.333192909,-0.105425214,2.363436553
28.96577392,1.117549017,0.91331857,1.321779465,-0.116889014,2.351987048
29.34910751,1.106220522,0.901982277,1.310458766,-0.128218799,2.340659843
29.73244109,1.09501875,0.890808742,1.299228758,-0.1394159,2.329453399
30.11577468,1.083942284,0.879797015,1.288087552,-0.150481658,2.318366225
30.49910826,1.072989722,0.868946051,1.277033393,-0.161417422,2.307396866
30.88244185,1.062159678,0.858254697,1.26606466,-0.172224548,2.296543905
31.26577543,1.051450782,0.847721716,1.255179849,-0.182904397,2.285805962
31.64910902,1.040861679,0.837345795,1.244377563,-0.193458333,2.275181691
32.0324426,1.030391028,0.827125533,1.233656523,-0.203887724,2.26466978
32.41577619,1.020037505,0.817059514,1.223015495,-0.214193933,2.254268942
32.79910977,1.009799798,0.807146136,1.21245346,-0.224378342,2.243977939
33.18244336,0.999676614,0.797383812,1.201969415,-0.234442325,2.233795552
33.56577694,0.98966667,0.787770993,1.191562347,-0.244387235,2.223720575
33.94911053,0.9797687,0.778305975,1.181231424,-0.254214447,2.213751846
34.33244412,0.969981451,0.768987039,1.170975862,-0.263925325,2.203888226
34.7157777,0.960303684,0.759812428,1.160794941,-0.27352123,2.194128599
35.09911129,0.950734176,0.750780364,1.150687989,-0.28300352,2.184471873
35.48244487,0.941271715,0.741889019,1.140654411,-0.292373548,2.174916979
35.86577846,0.931915104,0.733136555,1.130693653,-0.301632661,2.165462868
36.24911204,0.922663157,0.724521114,1.120805201,-0.310782198,2.156108513
36.63244563,0.913514706,0.716040804,1.110988608,-0.319823495,2.146852907
37.01577921,0.904468592,0.707693728,1.101243455,-0.328757877,2.13769506
37.3991128,0.895523669,0.699477952,1.091569386,-0.337586666,2.128634005
37.78244638,0.886678807,0.691391542,1.081966072,-0.346311174,2.119668788
38.16577997,0.877932886,0.683432565,1.072433207,-0.354932699,2.110798471
38.54911355,0.869284799,0.675599053,1.062970545,-0.363452539,2.102022137
38.93244714,0.860733452,0.667889032,1.053577872,-0.371871978,2.093338882
39.31578072,0.852277762,0.660300545,1.04425498,-0.38019229,2.084747814
